filename,category,question,answer
Sequence_Day_1_frame_0.jpg,Object Counting,How many objects of type traffic sign are in the image?,1
Sequence_Day_1_frame_0.jpg,Object Counting,Is there a traffic sign present in the image?,Yes
Sequence_Day_1_frame_0.jpg,Object Counting,Are there more traffic sign's than traffic sign's?,No
Sequence_Day_1_frame_0.jpg,Object Localization,Where is the truck present in the image?,"[x1=760, y1=143, x2=950, y2=310], [x1=504, y1=128, x2=682, y2=328]"
Sequence_Day_1_frame_0.jpg,Object Description,What is the color of the truck in the image?,gray
Sequence_Day_1_frame_0.jpg,Object Description,"What class is the object at bounding box [759.904296875, 142.546875, 950.01708984375, 309.96087646484375]?",truck
Sequence_Day_1_frame_0.jpg,Surrounding Description,What time of day is it?,day
Sequence_Day_1_frame_0.jpg,Surrounding Description,What is the traffic density?,Moderate
Sequence_Day_1_frame_0.jpg,Spatial Relationship,"What is the spatial relationship between truck (bbox: [759.904296875, 142.546875, 950.01708984375, 309.96087646484375]) and traffic sign (bbox: [1048.60595703125, 116.14315795898438, 1091.83740234375, 156.39657592773438])?",truck is right of traffic sign
Sequence_Day_1_frame_990.jpg,Object Counting,How many objects of type car are in the image?,3
Sequence_Day_1_frame_990.jpg,Object Counting,Is there a car present in the image?,Yes
Sequence_Day_1_frame_990.jpg,Object Counting,Are there more car's than car's?,No
Sequence_Day_1_frame_990.jpg,Object Localization,Where is the truck present in the image?,"[x1=434, y1=12, x2=770, y2=395], [x1=1012, y1=253, x2=1050, y2=273], [x1=1095, y1=239, x2=1170, y2=273]"
Sequence_Day_1_frame_990.jpg,Object Description,What is the color of the car in the image?,dimgray
Sequence_Day_1_frame_990.jpg,Object Description,"What class is the object at bounding box [0.0, 241.624267578125, 89.48505401611328, 314.35595703125]?",car
Sequence_Day_1_frame_990.jpg,Surrounding Description,What time of day is it?,day
Sequence_Day_1_frame_990.jpg,Surrounding Description,What is the traffic density?,High
Sequence_Day_1_frame_990.jpg,Spatial Relationship,"What is the spatial relationship between car (bbox: [142.80145263671875, 238.81875610351562, 345.4051513671875, 313.7133483886719]) and truck (bbox: [1095.357142857143, 238.77551020408163, 1170.3571428571431, 273.46938775510205])?",car is right of truck
Sequence_Day_13_frame_2250.jpg,Object Counting,How many objects of type rider are in the image?,3
Sequence_Day_13_frame_2250.jpg,Object Counting,Is there a rider present in the image?,Yes
Sequence_Day_13_frame_2250.jpg,Object Counting,Are there more rider's than traffic light's?,No
Sequence_Day_13_frame_2250.jpg,Object Localization,Where is the rider present in the image?,"[x1=528, y1=296, x2=700, y2=540], [x1=799, y1=293, x2=919, y2=530], [x1=956, y1=260, x2=1247, y2=678]"
Sequence_Day_13_frame_2250.jpg,Object Description,What is the color of the traffic light in the image?,gray
Sequence_Day_13_frame_2250.jpg,Object Description,"What class is the object at bounding box [152.59426879882812, 245.050048828125, 170.11395263671875, 285.83056640625]?",traffic light
Sequence_Day_13_frame_2250.jpg,Surrounding Description,What time of day is it?,day
Sequence_Day_13_frame_2250.jpg,Surrounding Description,What is the traffic density?,High
Sequence_Day_13_frame_2250.jpg,Spatial Relationship,"What is the spatial relationship between motorcycle (bbox: [797.6690673828125, 412.18354797363287, 930.3912353515625, 616.8696746826172]) and traffic light (bbox: [774.2307692307692, 173.46153846153845, 800.3846153846154, 271.92307692307696])?",motorcycle is ahead traffic light
Sequence_Day_13_frame_8820.jpg,Object Counting,How many objects of type car are in the image?,5
Sequence_Day_13_frame_8820.jpg,Object Counting,Is there a car present in the image?,Yes
Sequence_Day_13_frame_8820.jpg,Object Counting,Are there more car's than motorcycle's?,Yes
