model,category,light,filename,question,ground_truth,prediction,is_correct
qwen2vl,Object Counting,day,Sequence_Day_18_frame_1890.jpg,How many objects of type car are in the image?,5,1,False
qwen2vl,Object Counting,day,Sequence_Day_14_frame_540.jpg,How many objects of type car are in the image?,2,1,False
qwen2vl,Object Counting,day,Sequence_Day_18_frame_5190.jpg,Are there more car's than car's?,No,no,True
qwen2vl,Object Counting,day,Sequence_Day_18_frame_2490.jpg,Are there more car's than motorcycle's?,Yes,yes,True
qwen2vl,Object Counting,day,Sequence_Day_8_frame_30.jpg,How many objects of type truck are in the image?,1,1,True
qwen2vl,Object Counting,day,Sequence_Day_9_frame_1590.jpg,Is there a rickshaw present in the image?,Yes,yes,True
qwen2vl,Object Counting,day,Sequence_Day_13_frame_7020.jpg,Is there a truck present in the image?,Yes,yes,True
qwen2vl,Object Counting,day,Sequence_Day_9_frame_1080.jpg,Is there a car present in the image?,Yes,yes,True
qwen2vl,Object Counting,day,Sequence_Day_8_frame_510.jpg,How many objects of type motorcycle are in the image?,1,1,True
qwen2vl,Object Counting,day,Sequence_Day_17_frame_750.jpg,How many objects of type motorcycle are in the image?,1,2,False
qwen2vl,Object Counting,day,Sequence_Day_13_frame_2880.jpg,Is there a truck present in the image?,Yes,yes,True
qwen2vl,Object Counting,day,Sequence_Day_14_frame_5730.jpg,Are there more traffic light's than car's?,Yes,yes,True
qwen2vl,Object Counting,day,Sequence_Day_18_frame_10530.jpg,How many objects of type person are in the image?,1,1,True
qwen2vl,Object Counting,day,Sequence_Day_17_frame_3390.jpg,How many objects of type person are in the image?,6,1,False
qwen2vl,Object Counting,day,Sequence_Day_17_frame_1950.jpg,Are there more car's than car's?,No,no,True
qwen2vl,Object Counting,day,Sequence_Day_14_frame_150.jpg,Are there more car's than truck's?,Yes,yes,True
qwen2vl,Object Counting,day,Sequence_Day_9_frame_960.jpg,How many objects of type person are in the image?,5,0,False
qwen2vl,Object Counting,day,Sequence_Day_9_frame_2280.jpg,Are there more car's than rickshaw's?,Yes,yes,True
