model,category,light,filename,question,ground_truth,prediction,is_correct
paligemma,Object Counting,day,Sequence_Day_18_frame_1890.jpg,How many objects of type car are in the image?,5,2,False
paligemma,Object Counting,day,Sequence_Day_14_frame_540.jpg,How many objects of type car are in the image?,2,1,False
paligemma,Object Counting,day,Sequence_Day_18_frame_5190.jpg,Are there more car's than car's?,No,no,True
paligemma,Object Counting,day,Sequence_Day_18_frame_2490.jpg,Are there more car's than motorcycle's?,Yes,yes,True
paligemma,Object Counting,day,Sequence_Day_8_frame_30.jpg,How many objects of type truck are in the image?,1,1,True
paligemma,Object Counting,day,Sequence_Day_9_frame_1590.jpg,Is there a rickshaw present in the image?,Yes,yes,True
paligemma,Object Counting,day,Sequence_Day_13_frame_7020.jpg,Is there a truck present in the image?,Yes,yes,True
paligemma,Object Counting,day,Sequence_Day_9_frame_1080.jpg,Is there a car present in the image?,Yes,yes,True
paligemma,Object Counting,day,Sequence_Day_8_frame_510.jpg,How many objects of type motorcycle are in the image?,1,1,True
paligemma,Object Counting,day,Sequence_Day_17_frame_750.jpg,How many objects of type motorcycle are in the image?,1,1,True
paligemma,Object Counting,day,Sequence_Day_13_frame_2880.jpg,Is there a truck present in the image?,Yes,no,False
paligemma,Object Counting,day,Sequence_Day_14_frame_5730.jpg,Are there more traffic light's than car's?,Yes,no,False
paligemma,Object Counting,day,Sequence_Day_18_frame_10530.jpg,How many objects of type person are in the image?,1,2,False
paligemma,Object Counting,day,Sequence_Day_17_frame_3390.jpg,How many objects of type person are in the image?,6,2,False
paligemma,Object Counting,day,Sequence_Day_17_frame_1950.jpg,Are there more car's than car's?,No,no,True
paligemma,Object Counting,day,Sequence_Day_14_frame_150.jpg,Are there more car's than truck's?,Yes,yes,True
paligemma,Object Counting,day,Sequence_Day_9_frame_960.jpg,How many objects of type person are in the image?,5,1,False
paligemma,Object Counting,day,Sequence_Day_9_frame_2280.jpg,Are there more car's than rickshaw's?,Yes,yes,True
paligemma,Object Counting,day,Sequence_Day_18_frame_9480.jpg,Is there a car present in the image?,Yes,yes,True
paligemma,Object Counting,day,Sequence_Day_14_frame_4020.jpg,Are there more motorcycle's than car's?,No,no,True
paligemma,Object Counting,day,Sequence_Day_18_frame_3210.jpg,How many objects of type bus are in the image?,1,0,False
paligemma,Object Counting,day,Sequence_Day_9_frame_6360.jpg,Are there more motorcycle's than motorcycle's?,No,no,True
paligemma,Object Counting,day,Sequence_Day_13_frame_7980.jpg,Are there more truck's than rickshaw's?,Yes,no,False
paligemma,Object Counting,day,Sequence_Day_18_frame_3000.jpg,Are there more car's than car's?,No,no,True
paligemma,Object Counting,day,Sequence_Day_9_frame_660.jpg,Is there a truck present in the image?,Yes,yes,True
paligemma,Object Counting,day,Sequence_Day_18_frame_10560.jpg,How many objects of type car are in the image?,3,3,True
paligemma,Object Counting,day,Sequence_Day_14_frame_1770.jpg,How many objects of type car are in the image?,2,2,True
paligemma,Object Counting,day,Sequence_Day_17_frame_1530.jpg,How many objects of type car are in the image?,1,1,True
paligemma,Object Counting,day,Sequence_Day_18_frame_150.jpg,Is there a car present in the image?,Yes,yes,True
paligemma,Object Counting,day,Sequence_Day_17_frame_2010.jpg,How many objects of type bus are in the image?,1,1,True
paligemma,Object Counting,day,Sequence_Day_12_frame_600.jpg,Is there a rider present in the image?,Yes,yes,True
paligemma,Object Counting,day,Sequence_Day_11_frame_1320.jpg,Are there more rickshaw's than rider's?,No,no,True
paligemma,Object Counting,day,Sequence_Day_9_frame_1950.jpg,How many objects of type car are in the image?,3,2,False
paligemma,Object Counting,day,Sequence_Day_14_frame_3750.jpg,Is there a car present in the image?,Yes,yes,True
paligemma,Object Counting,day,Sequence_Day_8_frame_630.jpg,Is there a person present in the image?,Yes,yes,True
paligemma,Object Counting,day,Sequence_Day_12_frame_510.jpg,Is there a motorcycle present in the image?,Yes,yes,True
paligemma,Object Counting,day,Sequence_Day_9_frame_2790.jpg,Are there more car's than car's?,No,no,True
paligemma,Object Counting,day,Sequence_Day_8_frame_2190.jpg,Are there more car's than truck's?,No,yes,False
paligemma,Object Counting,day,Sequence_Day_12_frame_480.jpg,Is there a car present in the image?,Yes,yes,True
paligemma,Object Counting,day,Sequence_Day_18_frame_7920.jpg,Is there a rickshaw present in the image?,Yes,yes,True
paligemma,Object Counting,day,Sequence_Day_14_frame_5010.jpg,Are there more person's than car's?,No,no,True
paligemma,Object Counting,day,Sequence_Day_14_frame_3570.jpg,How many objects of type motorcycle are in the image?,2,2,True
paligemma,Object Counting,day,Sequence_Day_18_frame_14430.jpg,Are there more motorcycle's than motorcycle's?,No,no,True
paligemma,Object Counting,day,Sequence_Day_14_frame_1020.jpg,Are there more car's than truck's?,No,no,True
paligemma,Object Counting,day,Sequence_Day_9_frame_3660.jpg,How many objects of type truck are in the image?,1,1,True
paligemma,Object Counting,day,Sequence_Day_13_frame_5430.jpg,Is there a person present in the image?,Yes,yes,True
paligemma,Object Counting,day,Sequence_Day_9_frame_240.jpg,Is there a person present in the image?,Yes,yes,True
paligemma,Object Counting,day,Sequence_Day_18_frame_8430.jpg,Is there a motorcycle present in the image?,Yes,yes,True
paligemma,Object Counting,day,Sequence_Day_18_frame_8820.jpg,Is there a person present in the image?,Yes,yes,True
paligemma,Object Counting,day,Sequence_Day_18_frame_11730.jpg,Is there a bus present in the image?,Yes,yes,True
paligemma,Object Counting,day,Sequence_Day_12_frame_2610.jpg,Is there a traffic sign present in the image?,Yes,yes,True
paligemma,Object Counting,day,Sequence_Day_13_frame_3240.jpg,How many objects of type person are in the image?,2,2,True
